[ID],[BallNo],[Comment],[Page URL]
"1","0.1","Mathews to Ali, no run, full on off stump, defended into the covers","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"2","Slip and a short cover in place","Slip and a short cover in place","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"3","0.2","Mathews to Ali, no run, driven off the back foot to short cover","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"4","0.3","Mathews to Ali, no run, pushed across full outside off, left alone","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"5","0.4","Mathews to Ali, FOUR, he's away, dropped in short by Mathews and Moeen latches on with a front-foot pull which goes in the air over midwicket","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"6","0.5","Mathews to Ali, no run, back of a length at off stump, punched into the covers","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"7","0.6","Mathews to Ali, no run, on a good length, nips back off the seam and takes Moeen high on the back leg","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"8","Early signs are that there is very little pace in this pitch. Don: ""@Fazzy - hard to tell if you're being sarcastic or not...""","Early signs are that there is very little pace in this pitch. Don: ""@Fazzy - hard to tell if you're being sarcastic or not...""","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"9","Change of tactic from Sri Lanka. No early spin. Dhammika Prasad to take the other new ball","Change of tactic from Sri Lanka. No early spin. Dhammika Prasad to take the other new ball","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"10","1.1","Prasad to Hales, 1 wide, starts very wide, but it swings considerably...Hales tries to reach it but it barely pitches on the cut strip","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"11","1.1","Prasad to Hales, OUT, big strike! Gets his line straighter, it's full outside off, Hales is tempted into having a drive and a thick outside flies at chest height to Jayawardene at slip","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"12","AD Hales c Jayawardene b Prasad 0 (6m 1b 0x4 0x6) SR: 0.00","AD Hales c Jayawardene b Prasad 0 (6m 1b 0x4 0x6) SR: 0.00","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"13","So Hales can't take his opportunity opening the innings today","So Hales can't take his opportunity opening the innings today","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"14","So, an early call for James Taylor. This is a chance he has desperately wanted. Two slips in place","So, an early call for James Taylor. This is a chance he has desperately wanted. Two slips in place","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"15","1.2","Prasad to Taylor, no run, full outside off, left alone, carries at ankle height to Sangakkara","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"16","1.3","Prasad to Taylor, no run, shuffles across the crease and defends a delivery which was outside off into midwicket","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"17","1.4","Prasad to Taylor, no run, gets right across his stumps again, both feet end up outside off, and he punches into the off side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"18","1.5","Prasad to Taylor, no run, beaten! Lovely delivery. More swing for Prasad. Full outside off, draws Taylor forward and feels for it away from his body. The ball didn't carry to Sangakkara","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"19","1.6","Prasad to Taylor, 1 run, a strangled appeal for lbw, Taylor shuffling around again, but he's got some bat on this and is off the mark with a run towards square leg","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
"20","2.1","Mathews to Taylor, no run, full outside off, gentle pace, defended towards the on side","http://www.espncricinfo.com/ci/engine/match/750669.html?innings=1;page=1;view=commentary"
